Product,Manufacturer,Width & Length,Thickness,Price,Twickenham,Richmond
Stripping (36 Strips) (915mm x 19mm),Amtico,19 (w) x 2 (l),2 (t),£66.99 per SQM,,
Check Blue,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Check Flint,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Check Graphite,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Check Ochre,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Check Shadow,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Check Slate,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Dovetail Burnt Copper,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Dovetail Flax,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Dovetail French Clay,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Dovetail Ink Black,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Dovetail Lavastone,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Dovetail Ochre,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Dovetail Oxford Blue,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£55.00 per SQM,,
Heritage Colours Little Bricks Apple Green,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Little Bricks Bay Blue,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Little Bricks Fawn,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Little Bricks Forget-Me-Not,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Little Bricks Harvest Gold,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Little Bricks Pumice,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Little Bricks Soft Lilac,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Little Bricks Steel,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Little Bricks Venetian Red,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Squares Bay Blue,Harvey Maria,228 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Squares Linen White,Harvey Maria,228 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Heritage Colours Squares Stove Black,Harvey Maria,228 (w) x 2.5 (l),2.5 (t),£44.00 per SQM,,
Lattice Cherry Red,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£52.50 per SQM,,
Lattice Cornflower Blue,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£52.50 per SQM,,
Lattice Hay Field,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£52.50 per SQM,,
Lattice Hellebore,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£52.50 per SQM,,
Lattice Mist,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£52.50 per SQM,,
Lattice Pear Tree Green,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£52.50 per SQM,,
Lattice Pebble Grey,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£52.50 per SQM,,
Lattice Seedpod,Harvey Maria,305 (w) x 2.5 (l),2.5 (t),£52.50 per SQM,,
