Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Wood Installation - Herringbone,INS88991WOO,Installer,31.5,31.5,36.666666666666664,Wood,Installation,"Wood Installation - Herringbone, Wood, Installation",
Wood Installation - Chevron,INS82970WOO,Installer,31.5,31.5,36.666666666666664,Wood,Installation,"Wood Installation - Chevron, Wood, Installation",
Wood Installation - Marquetry Design,INS66901WOO,Installer,35.0,35.0,40.83333333333333,Wood,Installation,"Wood Installation - Marquetry Design, Wood, Installation",
Wood Installation - Marquetry Panel,INS38200WOO,Installer,31.5,31.5,36.666666666666664,Wood,Installation,"Wood Installation - Marquetry Panel, Wood, Installation",
Wood Installation - Minimum (1 Day),INS21466WOO,Installer,400.0,400.0,458.33333333333337,Wood,Installation,"Wood Installation - Minimum (1 Day), Wood, Installation",
Wood Installation - Step,INS61118WOO,Installer,65.0,65.0,75.0,Wood,Installation,"Wood Installation - Step, Wood, Installation",
Wood Installation - Miscellaneous,INS93316WOO,Installer,1.0,1.0,1.15,Wood,Installation,"Wood Installation - Miscellaneous, Wood, Installation",
Wood Installation - Border (Without Inlay),INS38822WOO,Installer,20.0,20.0,23.333333333333336,Wood,Installation,"Wood Installation - Border (Without Inlay), Wood, Installation",
Wood Installation - Border (With Inlay),INS71230WOO,Installer,30.0,30.0,35.0,Wood,Installation,"Wood Installation - Border (With Inlay), Wood, Installation",
Undercut Skirting,INS30669WOO,Installer,20.0,20.0,23.333333333333336,Wood,Installation,"Undercut Skirting, Wood, Installation",
Install Sound Reducing Underlay (Adhere),INS26625WOO,Installer,7.0,7.0,8.125,Wood,Installation,"Install Sound Reducing Underlay (Adhere), Wood, Installation",
Undercut Step,INS11171WOO,Installer,54.0,54.0,62.5,Wood,Installation,"Undercut Step, Wood, Installation",
