SKU,Product,Manufacturer,Category,Width,Length,Thickness,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Brushed Oak,signature-standard-brushed-oak,product-images/vinyl/amtico/signature-standard/signature-standard-brushed-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Buckingham Oak,signature-standard-buckingham-oak,product-images/vinyl/amtico/signature-standard/signature-standard-buckingham-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Buxton Oak,signature-standard-buxton-oak,product-images/vinyl/amtico/signature-standard/signature-standard-buxton-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Chargot Oak,signature-standard-chargot-oak,product-images/vinyl/amtico/signature-standard/signature-standard-chargot-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Chateau Oak,signature-standard-chateau-oak,product-images/vinyl/amtico/signature-standard/signature-standard-chateau-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Chatham Concrete,signature-standard-chatham-concrete,product-images/vinyl/amtico/signature-standard/signature-standard-chatham-concrete.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Chiltern Oak,signature-standard-chiltern-oak,product-images/vinyl/amtico/signature-standard/signature-standard-chiltern-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Classic Oak,signature-standard-classic-oak,product-images/vinyl/amtico/signature-standard/signature-standard-classic-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Classic Walnut,signature-standard-classic-walnut,product-images/vinyl/amtico/signature-standard/signature-standard-classic-walnut.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Clowes Oak,signature-standard-clowes-oak,product-images/vinyl/amtico/signature-standard/signature-standard-clowes-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Coombe Stone,signature-standard-coombe-stone,product-images/vinyl/amtico/signature-standard/signature-standard-coombe-stone.jpg
