Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Mayfair 2005 - Pure Satin (5 M),CA68206RIV-E70C8,Riviera,277.0,277.0,416.66666666666674,Carpet,Carpet,Riviera Mayfair  2005 - Pure Satin 5,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Mayfair 2006 - Smoke (5 M),CA68206RIV-E3D2B,Riviera,277.0,277.0,416.66666666666674,Carpet,Carpet,Riviera Mayfair  2006 - Smoke 5,Price per SQM: £100.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Medina 221 - Peanut (5 M),CA91840RIV-1894F,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Medina 221 - Peanut 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Medina 222 - Pewter (5 M),CA91840RIV-68F1B,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Medina  222 - Pewter 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Medina 223 - Mocha (5 M),CA91840RIV-EF7DC,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Medina  223 - Mocha 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Medina 224 - Fossil (5 M),CA91840RIV-7F57B,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Medina  224 - Fossil 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Medina 225 - Nutmeg (5 M),CA91840RIV-FA9EB,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Medina  225 - Nutmeg 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Medina 226 - Almond (5 M),CA91840RIV-3D6AD,Riviera,140.0,140.0,237.5,Carpet,Carpet,Riviera Medina  226 - Almond 5,Price per SQM: £57.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Milano 441 - Marrone (5 M),CA85831RIV-C31B7,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Milano 441 - Marrone 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Milano 442 - Tartufo (5 M),CA85831RIV-570AB,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Milano  442 - Tartufo 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Milano 443 - Sabbia (5 M),CA85831RIV-9104F,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Milano  443 - Sabbia 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Milano 444 - Carbone (5 M),CA85831RIV-29A05,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Milano  444 - Carbone 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Milano 445 - Grigio (5 M),CA85831RIV-FA719,Riviera,218.75,218.75,329.16666666666663,Carpet,Carpet,Riviera Milano  445 - Grigio 5,"Price per SQM: £79.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
