Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Berkeley White Oak,WO84516WOO,Woodpecker,61.5,61.5,85.83333333333334,Wood,Plank,Woodpecker Berkeley White Oak,"Price per SQM: £103.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Berkeley Grey Oak,WO18566WOO,Woodpecker,61.5,61.5,85.83333333333334,Wood,Plank,Woodpecker Berkeley Grey Oak,"Price per SQM: £103.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Berkeley Smoked Oak,WO26409WOO,Woodpecker,61.5,61.5,85.83333333333334,Wood,Plank,Woodpecker Berkeley Smoked Oak,"Price per SQM: £103.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Berkeley Cathedral Oak,WO92791WOO,Woodpecker,75.0,75.0,105.0,Wood,Plank,Woodpecker Berkeley Cathedral Oak,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Berkeley Archway Oak,WO92659WOO,Woodpecker,75.0,75.0,105.0,Wood,Plank,Woodpecker Berkeley Archway Oak,Price per SQM: £126.00 inc VAT; Locations: None; Data synced from Rakata
Berkeley Burnt Oak,WO59348WOO,Woodpecker,61.5,61.5,85.83333333333334,Wood,Plank,Woodpecker Berkeley Burnt Oak,"Price per SQM: £103.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Berkeley Cottage Oak,WO56911WOO,Woodpecker,75.0,75.0,105.0,Wood,Plank,Woodpecker Berkeley Cottage Oak,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Berkeley Calico Oak,WO14846WOO,Woodpecker,75.0,75.0,105.0,Wood,Plank,Woodpecker Berkeley Calico Oak,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Berkeley Classic Walnut,WO84822WOO,Woodpecker,75.0,75.0,105.0,Wood,Plank,Woodpecker Berkeley Classic Walnut,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Berkeley Rugged Oak,WO41191WOO,Woodpecker,75.0,75.0,105.0,Wood,Plank,Woodpecker Berkeley Rugged Oak,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Berkeley Charterhouse Oak,WO61203WOO,Woodpecker,75.0,75.0,105.0,Wood,Plank,Woodpecker Berkeley Charterhouse Oak,Price per SQM: £126.00 inc VAT; Locations: None; Data synced from Rakata
Berkeley Priory Oak,WO68468WOO,Woodpecker,75.0,75.0,105.0,Wood,Plank,Woodpecker Berkeley Priory Oak,Price per SQM: £126.00 inc VAT; Locations: None; Data synced from Rakata
Berkeley Cellar Oak,WO16233WOO,Woodpecker,75.0,75.0,105.0,Wood,Plank,Woodpecker Berkeley Cellar Oak,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Design Panels (750 X 750) Sandringham Limed Oak Multi Micro Bevel,WO45851WOO,Woodpecker,125.0,125.0,208.33333333333331,Wood,Panel,Woodpecker Design Panels (750 X 750) Sandringham Limed Oak Multi Micro Bevel,Price per SQM: £250.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Design Panels (750 X 750) Sandringham Royal Oak Multi Micro Bevel,WO28160WOO,Woodpecker,125.0,125.0,208.33333333333331,Wood,Panel,Woodpecker Design Panels (750 X 750) Sandringham Royal Oak Multi Micro Bevel,Price per SQM: £250.00 inc VAT; Locations: None; Data synced from Rakata
Design Panels (750 X 750) Sandringham Aged Oak Multi Micro Bevel,WO77318WOO,Woodpecker,125.0,125.0,208.33333333333331,Wood,Panel,Woodpecker Design Panels (750 X 750) Sandringham Aged Oak Multi Micro Bevel,Price per SQM: £250.00 inc VAT; Locations: None; Data synced from Rakata
Design Panels (750 X 750) Highgrove Limed Oak No Bevel,WO85448WOO,Woodpecker,125.0,125.0,208.33333333333331,Wood,Panel,Woodpecker Design Panels (750 X 750) Highgrove Limed Oak No Bevel,Price per SQM: £250.00 inc VAT; Locations: None; Data synced from Rakata
Design Panels (750 X 750) Highgrove Royal Oak No Bevel,WO62907WOO,Woodpecker,125.0,125.0,208.33333333333331,Wood,Panel,Woodpecker Design Panels (750 X 750) Highgrove Royal Oak No Bevel,Price per SQM: £250.00 inc VAT; Locations: None; Data synced from Rakata
Design Panels (750 X 750) Highgrove Aged Oak No Bevel,WO80640WOO,Woodpecker,125.0,125.0,208.33333333333331,Wood,Panel,Woodpecker Design Panels (750 X 750) Highgrove Aged Oak No Bevel,Price per SQM: £250.00 inc VAT; Locations: None; Data synced from Rakata
Harlech Espresso Oak,WO17682WOO ,Woodpecker,49.0,49.0,73.33333333333333,Wood,Plank,Woodpecker Harlech Espresso Oak,"Price per SQM: £88.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
